AdultPPvsE15,AdultPCvsE15,AdultNNvsE15,NTCvsE15,NTCPCFvsE15
ENSMUSG00000000028,ENSMUSG00000000028,ENSMUSG00000000028,ENSMUSG00000000058,ENSMUSG00000000028
ENSMUSG00000000031,ENSMUSG00000000031,ENSMUSG00000000031,ENSMUSG00000000149,ENSMUSG00000000184
ENSMUSG00000000078,ENSMUSG00000000184,ENSMUSG00000000078,ENSMUSG00000000154,ENSMUSG00000000247
ENSMUSG00000000184,ENSMUSG00000000247,ENSMUSG00000000184,ENSMUSG00000000247,ENSMUSG00000000253
ENSMUSG00000000247,ENSMUSG00000000253,ENSMUSG00000000247,ENSMUSG00000000253,ENSMUSG00000000282
ENSMUSG00000000253,ENSMUSG00000000290,ENSMUSG00000000253,ENSMUSG00000000266,ENSMUSG00000000290
ENSMUSG00000000290,ENSMUSG00000000303,ENSMUSG00000000290,ENSMUSG00000000296,ENSMUSG00000000409
ENSMUSG00000000325,ENSMUSG00000000385,ENSMUSG00000000325,ENSMUSG00000000301,ENSMUSG00000000552
ENSMUSG00000000409,ENSMUSG00000000409,ENSMUSG00000000409,ENSMUSG00000000325,ENSMUSG00000000568
ENSMUSG00000000532,ENSMUSG00000000552,ENSMUSG00000000532,ENSMUSG00000000673,ENSMUSG00000000682
ENSMUSG00000000579,ENSMUSG00000000579,ENSMUSG00000000552,ENSMUSG00000000682,ENSMUSG00000000693
ENSMUSG00000000628,ENSMUSG00000000628,ENSMUSG00000000579,ENSMUSG00000000686,ENSMUSG00000000732
ENSMUSG00000000682,ENSMUSG00000000682,ENSMUSG00000000628,ENSMUSG00000000693,ENSMUSG00000000901
ENSMUSG00000000693,ENSMUSG00000000693,ENSMUSG00000000682,ENSMUSG00000000776,ENSMUSG00000000902
ENSMUSG00000000732,ENSMUSG00000000732,ENSMUSG00000000693,ENSMUSG00000000782,ENSMUSG00000000957
ENSMUSG00000000782,ENSMUSG00000000901,ENSMUSG00000000732,ENSMUSG00000000901,ENSMUSG00000000958
ENSMUSG00000000901,ENSMUSG00000000957,ENSMUSG00000000782,ENSMUSG00000000915,ENSMUSG00000001025
ENSMUSG00000000915,ENSMUSG00000000958,ENSMUSG00000000901,ENSMUSG00000001025,ENSMUSG00000001119
ENSMUSG00000001025,ENSMUSG00000001025,ENSMUSG00000000915,ENSMUSG00000001039,ENSMUSG00000001128
ENSMUSG00000001039,ENSMUSG00000001039,ENSMUSG00000001025,ENSMUSG00000001247,ENSMUSG00000001131
ENSMUSG00000001082,ENSMUSG00000001082,ENSMUSG00000001082,ENSMUSG00000001248,ENSMUSG00000001228
ENSMUSG00000001119,ENSMUSG00000001120,ENSMUSG00000001119,ENSMUSG00000001323,ENSMUSG00000001270
ENSMUSG00000001128,ENSMUSG00000001131,ENSMUSG00000001128,ENSMUSG00000001506,ENSMUSG00000001288
ENSMUSG00000001131,ENSMUSG00000001228,ENSMUSG00000001131,ENSMUSG00000001521,ENSMUSG00000001506
ENSMUSG00000001228,ENSMUSG00000001288,ENSMUSG00000001228,ENSMUSG00000001555,ENSMUSG00000001507
ENSMUSG00000001270,ENSMUSG00000001403,ENSMUSG00000001248,ENSMUSG00000001627,ENSMUSG00000001517
ENSMUSG00000001403,ENSMUSG00000001473,ENSMUSG00000001270,ENSMUSG00000001670,ENSMUSG00000001520
ENSMUSG00000001506,ENSMUSG00000001506,ENSMUSG00000001403,ENSMUSG00000001700,ENSMUSG00000001521
ENSMUSG00000001517,ENSMUSG00000001517,ENSMUSG00000001506,ENSMUSG00000001802,ENSMUSG00000001525
ENSMUSG00000001520,ENSMUSG00000001520,ENSMUSG00000001517,ENSMUSG00000001864,ENSMUSG00000001555
ENSMUSG00000001521,ENSMUSG00000001521,ENSMUSG00000001520,ENSMUSG00000001911,ENSMUSG00000001761
ENSMUSG00000001525,ENSMUSG00000001555,ENSMUSG00000001521,ENSMUSG00000001918,ENSMUSG00000001864
ENSMUSG00000001555,ENSMUSG00000001627,ENSMUSG00000001525,ENSMUSG00000001946,ENSMUSG00000001946
ENSMUSG00000001627,ENSMUSG00000001864,ENSMUSG00000001555,ENSMUSG00000002012,ENSMUSG00000001986
ENSMUSG00000001864,ENSMUSG00000001946,ENSMUSG00000001627,ENSMUSG00000002107,ENSMUSG00000002012
ENSMUSG00000001918,ENSMUSG00000002012,ENSMUSG00000001864,ENSMUSG00000002108,ENSMUSG00000002058
ENSMUSG00000001946,ENSMUSG00000002055,ENSMUSG00000001918,ENSMUSG00000002266,ENSMUSG00000002105
ENSMUSG00000002012,ENSMUSG00000002068,ENSMUSG00000001946,ENSMUSG00000002324,ENSMUSG00000002111
ENSMUSG00000002055,ENSMUSG00000002111,ENSMUSG00000002012,ENSMUSG00000002384,ENSMUSG00000002265
ENSMUSG00000002058,ENSMUSG00000002227,ENSMUSG00000002055,ENSMUSG00000002458,ENSMUSG00000002266
ENSMUSG00000002059,ENSMUSG00000002233,ENSMUSG00000002058,ENSMUSG00000002588,ENSMUSG00000002384
ENSMUSG00000002068,ENSMUSG00000002265,ENSMUSG00000002059,ENSMUSG00000002769,ENSMUSG00000002458
