Label	File	Treatment	batch
E15_E1	RawCountsout.csv	E15	A
E15_E2	RawCountsout.csv	E15	B
Adult_NN1	RawCountsout.csv	AdultNN	A
Adult_NN2	RawCountsout.csv	AdultNN	B
Adult_PC1	RawCountsout.csv	AdultPC	A
Adult_PC2	RawCountsout.csv	AdultPC	B
Adult_PP1	RawCountsout.csv	AdultPP	A
Adult_PP2	RawCountsout.csv	AdultPP	B
Dual_PCF_E1	RawCountsout.csv	DualSgPCF	D
Dual_PCF_E2	RawCountsout.csv	DualSgPCF	D
Dual_no_E1	RawCountsout.csv	DualSg	D
Dual_no_E2	RawCountsout.csv	DualSg	D
Hnf4a_ORF_E1	RawCountsout.csv	Hnf4a	D
Hnf4a_ORF_E2	RawCountsout.csv	Hnf4a	D
NTC_PCF_E1	RawCountsout.csv	NTCPCF	D
NTC_PCF_E2	RawCountsout.csv	NTCPCF	D
NTC_no_E1	RawCountsout.csv	NTC	D
NTC_no_E2	RawCountsout.csv	NTC	D
Nfia_sg_E1	RawCountsout.csv	Nfia	D
Nfia_sg_E2	RawCountsout.csv	Nfia	D
Nfib_sg_E1	RawCountsout.csv	Nfib	D
Nfib_sg_E2	RawCountsout.csv	Nfib	D
Nfic_sg_E1	RawCountsout.csv	Nfic	D
Nfic_sg_E2	RawCountsout.csv	Nfic	D
Nfix_sg_E1	RawCountsout.csv	Nfix	D
Nfix_sg_E2	RawCountsout.csv	Nfix	D
Nr1i2_sg_E1	RawCountsout.csv	Nr1i2	D
Nr1i2_sg_E2	RawCountsout.csv	Nr1i2	D
Nr1i3_sg_E1	RawCountsout.csv	Nr1i3	D
Nr1i3_sg_E2	RawCountsout.csv	Nr1i3	D
